Week,Date,Holiday,Professor
2,"January 21, 2026",,Hyunsoo Yang
3,"January 28, 2026",,Hyunsoo Yang
1,"January 14, 2026",,Hyunsoo Yang
5,"February 11, 2026",,Gong Xiao
6,"February 18, 2026",Chinese New Year,—
—,"February 26, 2025",Recess Week,—
7,"March 4, 2026",,Gong Xiao
8,"March 11, 2026",,Gong Xiao
9,"March 18, 2026",,Gong Xiao
10,"March 25, 2026",,Kelvin Fong Xuanyao
11,"April 1, 2026",,Kelvin Fong Xuanyao
12,"April 8, 2026",,Kelvin Fong Xuanyao
13,"April 15, 2026",,Kelvin Fong Xuanyao
—,"April 22, 2026",Reading Week,—
4,"February 4, 2026",,Hyunsoo Yang
